resume_text,job_description,match_score,match_label,match_label_lower,resume_len,jd_len
"Full Stack Developer with 5 years of experience. Skilled in React, Node.js, MongoDB, Express, REST API. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Full Stack Developer. Required skills include React, Node.js, MongoDB, Express, REST API. Candidate should possess strong communication skills and relevant industry experience.",0.87,medium,medium,30,25
"Marketing Manager with 6 years of experience. Skilled in SEO, Content Marketing, Analytics, Branding, Campaigns. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Marketing Manager. Required skills include SEO, Content Marketing, Analytics, Branding, Campaigns. Candidate should possess strong communication skills and relevant industry experience.",0.82,low,low,29,24
"Frontend Developer with 4 years of experience. Skilled in React, JavaScript, HTML, CSS, Redux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Frontend Developer. Required skills include React, JavaScript, HTML, CSS, Redux. Candidate should possess strong communication skills and relevant industry experience.",0.9,high,high,28,23
"Healthcare Analyst with 2 years of experience. Skilled in Healthcare Data, Excel, SQL, Reporting, Statistics. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Healthcare Analyst. Required skills include Healthcare Data, Excel, SQL, Reporting, Statistics. Candidate should possess strong communication skills and relevant industry experience.",0.89,high,high,29,24
"ML Engineer with 9 years of experience. Skilled in Python, PyTorch, TensorFlow, Deep Learning, MLOps. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a ML Engineer. Required skills include Python, PyTorch, TensorFlow, Deep Learning, MLOps. Candidate should possess strong communication skills and relevant industry experience.",0.91,high,high,29,24
"ML Engineer with 8 years of experience. Skilled in Python, PyTorch, TensorFlow, Deep Learning, MLOps. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a ML Engineer. Required skills include Python, PyTorch, TensorFlow, Deep Learning, MLOps. Candidate should possess strong communication skills and relevant industry experience.",0.86,high,high,29,24
"HR Specialist with 9 years of experience. Skilled in Recruitment, Onboarding, Communication, HRMS, Employee Relations. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a HR Specialist. Required skills include Recruitment, Onboarding, Communication, HRMS, Employee Relations. Candidate should possess strong communication skills and relevant industry experience.",0.83,high,high,29,24
"Frontend Developer with 1 years of experience. Skilled in React, JavaScript, HTML, CSS, Redux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Frontend Developer. Required skills include React, JavaScript, HTML, CSS, Redux. Candidate should possess strong communication skills and relevant industry experience.",0.83,high,high,28,23
"Healthcare Analyst with 5 years of experience. Skilled in Healthcare Data, Excel, SQL, Reporting, Statistics. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Healthcare Analyst. Required skills include Healthcare Data, Excel, SQL, Reporting, Statistics. Candidate should possess strong communication skills and relevant industry experience.",0.95,high,high,29,24
"Sales Manager with 3 years of experience. Skilled in CRM, Sales, Leadership, Negotiation, Forecasting. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Sales Manager. Required skills include CRM, Sales, Leadership, Negotiation, Forecasting. Candidate should possess strong communication skills and relevant industry experience.",0.88,high,high,28,23
"Cybersecurity Analyst with 8 years of experience. Skilled in SIEM, Network Security, Linux, SOC, Risk Analysis. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Cybersecurity Analyst. Required skills include SIEM, Network Security, Linux, SOC, Risk Analysis. Candidate should possess strong communication skills and relevant industry experience.",0.83,high,high,30,25
"Full Stack Developer with 1 years of experience. Skilled in React, Node.js, MongoDB, Express, REST API. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Full Stack Developer. Required skills include React, Node.js, MongoDB, Express, REST API. Candidate should possess strong communication skills and relevant industry experience.",0.82,high,high,30,25
"Data Analyst with 7 years of experience. Skilled in Python, SQL, Power BI, Tableau, Excel. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Data Analyst. Required skills include Python, SQL, Power BI, Tableau, Excel. Candidate should possess strong communication skills and relevant industry experience.",0.84,high,high,29,24
"Sales Manager with 8 years of experience. Skilled in CRM, Sales, Leadership, Negotiation, Forecasting. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Sales Manager. Required skills include CRM, Sales, Leadership, Negotiation, Forecasting. Candidate should possess strong communication skills and relevant industry experience.",0.84,high,high,28,23
"Healthcare Analyst with 9 years of experience. Skilled in Healthcare Data, Excel, SQL, Reporting, Statistics. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Healthcare Analyst. Required skills include Healthcare Data, Excel, SQL, Reporting, Statistics. Candidate should possess strong communication skills and relevant industry experience.",0.9,high,high,29,24
"Cybersecurity Analyst with 3 years of experience. Skilled in SIEM, Network Security, Linux, SOC, Risk Analysis. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Cybersecurity Analyst. Required skills include SIEM, Network Security, Linux, SOC, Risk Analysis. Candidate should possess strong communication skills and relevant industry experience.",0.83,high,high,30,25
"AI Engineer with 1 years of experience. Skilled in LLMs, Python, NLP, Transformers, Vector DB. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a AI Engineer. Required skills include LLMs, Python, NLP, Transformers, Vector DB. Candidate should possess strong communication skills and relevant industry experience.",0.89,high,high,29,24
"Cloud Engineer with 1 years of experience. Skilled in AWS, Docker, Kubernetes, Terraform, Linux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Cloud Engineer. Required skills include AWS, Docker, Kubernetes, Terraform, Linux. Candidate should possess strong communication skills and relevant industry experience.",0.91,high,high,28,23
"Data Analyst with 1 years of experience. Skilled in Python, SQL, Power BI, Tableau, Excel. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Data Analyst. Required skills include Python, SQL, Power BI, Tableau, Excel. Candidate should possess strong communication skills and relevant industry experience.",0.89,high,high,29,24
"Cloud Engineer with 9 years of experience. Skilled in AWS, Docker, Kubernetes, Terraform, Linux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Cloud Engineer. Required skills include AWS, Docker, Kubernetes, Terraform, Linux. Candidate should possess strong communication skills and relevant industry experience.",0.82,high,high,28,23
"Cloud Engineer with 2 years of experience. Skilled in AWS, Docker, Kubernetes, Terraform, Linux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Cloud Engineer. Required skills include AWS, Docker, Kubernetes, Terraform, Linux. Candidate should possess strong communication skills and relevant industry experience.",0.93,high,high,28,23
"Data Scientist with 10 years of experience. Skilled in Python, Machine Learning, Pandas, NumPy, TensorFlow. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Data Scientist. Required skills include Python, Machine Learning, Pandas, NumPy, TensorFlow. Candidate should possess strong communication skills and relevant industry experience.",0.81,high,high,29,24
"HR Specialist with 10 years of experience. Skilled in Recruitment, Onboarding, Communication, HRMS, Employee Relations. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a HR Specialist. Required skills include Recruitment, Onboarding, Communication, HRMS, Employee Relations. Candidate should possess strong communication skills and relevant industry experience.",0.84,high,high,29,24
"DevOps Engineer with 1 years of experience. Skilled in Docker, Kubernetes, CI/CD, AWS, Linux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a DevOps Engineer. Required skills include Docker, Kubernetes, CI/CD, AWS, Linux. Candidate should possess strong communication skills and relevant industry experience.",0.89,high,high,28,23
"Full Stack Developer with 10 years of experience. Skilled in React, Node.js, MongoDB, Express, REST API. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Full Stack Developer. Required skills include React, Node.js, MongoDB, Express, REST API. Candidate should possess strong communication skills and relevant industry experience.",0.88,high,high,30,25
"Frontend Developer with 5 years of experience. Skilled in React, JavaScript, HTML, CSS, Redux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Frontend Developer. Required skills include React, JavaScript, HTML, CSS, Redux. Candidate should possess strong communication skills and relevant industry experience.",0.83,high,high,28,23
"Healthcare Analyst with 6 years of experience. Skilled in Healthcare Data, Excel, SQL, Reporting, Statistics. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Healthcare Analyst. Required skills include Healthcare Data, Excel, SQL, Reporting, Statistics. Candidate should possess strong communication skills and relevant industry experience.",0.84,high,high,29,24
"Full Stack Developer with 3 years of experience. Skilled in React, Node.js, MongoDB, Express, REST API. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Full Stack Developer. Required skills include React, Node.js, MongoDB, Express, REST API. Candidate should possess strong communication skills and relevant industry experience.",0.9,high,high,30,25
"Backend Developer with 8 years of experience. Skilled in Java, Spring Boot, SQL, REST API, Docker. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Backend Developer. Required skills include Java, Spring Boot, SQL, REST API, Docker. Candidate should possess strong communication skills and relevant industry experience.",0.85,high,high,30,25
"Sales Manager with 2 years of experience. Skilled in CRM, Sales, Leadership, Negotiation, Forecasting. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Sales Manager. Required skills include CRM, Sales, Leadership, Negotiation, Forecasting. Candidate should possess strong communication skills and relevant industry experience.",0.8,high,high,28,23
"DevOps Engineer with 10 years of experience. Skilled in Docker, Kubernetes, CI/CD, AWS, Linux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a DevOps Engineer. Required skills include Docker, Kubernetes, CI/CD, AWS, Linux. Candidate should possess strong communication skills and relevant industry experience.",0.95,high,high,28,23
"Data Scientist with 9 years of experience. Skilled in Python, Machine Learning, Pandas, NumPy, TensorFlow. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Data Scientist. Required skills include Python, Machine Learning, Pandas, NumPy, TensorFlow. Candidate should possess strong communication skills and relevant industry experience.",0.83,high,high,29,24
"Backend Developer with 3 years of experience. Skilled in Java, Spring Boot, SQL, REST API, Docker. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Backend Developer. Required skills include Java, Spring Boot, SQL, REST API, Docker. Candidate should possess strong communication skills and relevant industry experience.",0.94,high,high,30,25
"HR Specialist with 2 years of experience. Skilled in Recruitment, Onboarding, Communication, HRMS, Employee Relations. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a HR Specialist. Required skills include Recruitment, Onboarding, Communication, HRMS, Employee Relations. Candidate should possess strong communication skills and relevant industry experience.",0.93,high,high,29,24
"Marketing Manager with 9 years of experience. Skilled in SEO, Content Marketing, Analytics, Branding, Campaigns. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Marketing Manager. Required skills include SEO, Content Marketing, Analytics, Branding, Campaigns. Candidate should possess strong communication skills and relevant industry experience.",0.91,high,high,29,24
"DevOps Engineer with 9 years of experience. Skilled in Docker, Kubernetes, CI/CD, AWS, Linux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a DevOps Engineer. Required skills include Docker, Kubernetes, CI/CD, AWS, Linux. Candidate should possess strong communication skills and relevant industry experience.",0.8,high,high,28,23
"Business Analyst with 2 years of experience. Skilled in SQL, Excel, Power BI, Communication, Reporting. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Business Analyst. Required skills include SQL, Excel, Power BI, Communication, Reporting. Candidate should possess strong communication skills and relevant industry experience.",0.94,high,high,29,24
"ML Engineer with 5 years of experience. Skilled in Python, PyTorch, TensorFlow, Deep Learning, MLOps. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a ML Engineer. Required skills include Python, PyTorch, TensorFlow, Deep Learning, MLOps. Candidate should possess strong communication skills and relevant industry experience.",0.82,high,high,29,24
"Marketing Manager with 5 years of experience. Skilled in SEO, Content Marketing, Analytics, Branding, Campaigns. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Marketing Manager. Required skills include SEO, Content Marketing, Analytics, Branding, Campaigns. Candidate should possess strong communication skills and relevant industry experience.",0.88,high,high,29,24
"Backend Developer with 1 years of experience. Skilled in Java, Spring Boot, SQL, REST API, Docker. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Backend Developer. Required skills include Java, Spring Boot, SQL, REST API, Docker. Candidate should possess strong communication skills and relevant industry experience.",0.81,high,high,30,25
"Frontend Developer with 3 years of experience. Skilled in React, JavaScript, HTML, CSS, Redux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Frontend Developer. Required skills include React, JavaScript, HTML, CSS, Redux. Candidate should possess strong communication skills and relevant industry experience.",0.9,high,high,28,23
"Cloud Engineer with 7 years of experience. Skilled in AWS, Docker, Kubernetes, Terraform, Linux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Cloud Engineer. Required skills include AWS, Docker, Kubernetes, Terraform, Linux. Candidate should possess strong communication skills and relevant industry experience.",0.88,high,high,28,23
"Data Scientist with 3 years of experience. Skilled in Python, Machine Learning, Pandas, NumPy, TensorFlow. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Data Scientist. Required skills include Python, Machine Learning, Pandas. Candidate should possess strong communication skills and relevant industry experience.",0.56,medium,medium,29,22
"Marketing Manager with 10 years of experience. Skilled in SEO, Content Marketing, Analytics, Branding, Campaigns. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Frontend Developer. Required skills include React, JavaScript, HTML. Candidate should possess strong communication skills and relevant industry experience.",0.57,medium,medium,29,21
"Full Stack Developer with 1 years of experience. Skilled in React, Node.js, MongoDB, Express, REST API. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a ML Engineer. Required skills include Python, PyTorch, TensorFlow. Candidate should possess strong communication skills and relevant industry experience.",0.49,medium,medium,30,21
"HR Specialist with 1 years of experience. Skilled in Recruitment, Onboarding, Communication, HRMS, Employee Relations. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a HR Specialist. Required skills include Recruitment, Onboarding, Communication. Candidate should possess strong communication skills and relevant industry experience.",0.67,medium,medium,29,21
"AI Engineer with 4 years of experience. Skilled in LLMs, Python, NLP, Transformers, Vector DB. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Business Analyst. Required skills include SQL, Excel, Power BI. Candidate should possess strong communication skills and relevant industry experience.",0.6,medium,medium,29,22
"Frontend Developer with 9 years of experience. Skilled in React, JavaScript, HTML, CSS, Redux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Sales Manager. Required skills include CRM, Sales, Leadership. Candidate should possess strong communication skills and relevant industry experience.",0.67,medium,medium,28,21
"Full Stack Developer with 3 years of experience. Skilled in React, Node.js, MongoDB, Express, REST API. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a DevOps Engineer. Required skills include Docker, Kubernetes, CI/CD. Candidate should possess strong communication skills and relevant industry experience.",0.68,medium,medium,30,21
"AI Engineer with 3 years of experience. Skilled in LLMs, Python, NLP, Transformers, Vector DB. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Marketing Manager. Required skills include SEO, Content Marketing, Analytics. Candidate should possess strong communication skills and relevant industry experience.",0.69,medium,medium,29,22
"Sales Manager with 7 years of experience. Skilled in CRM, Sales, Leadership, Negotiation, Forecasting. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a ML Engineer. Required skills include Python, PyTorch, TensorFlow. Candidate should possess strong communication skills and relevant industry experience.",0.41,medium,medium,28,21
"Healthcare Analyst with 6 years of experience. Skilled in Healthcare Data, Excel, SQL, Reporting, Statistics. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a HR Specialist. Required skills include Recruitment, Onboarding, Communication. Candidate should possess strong communication skills and relevant industry experience.",0.63,medium,medium,29,21
"Full Stack Developer with 4 years of experience. Skilled in React, Node.js, MongoDB, Express, REST API. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Sales Manager. Required skills include CRM, Sales, Leadership. Candidate should possess strong communication skills and relevant industry experience.",0.48,medium,medium,30,21
"Sales Manager with 2 years of experience. Skilled in CRM, Sales, Leadership, Negotiation, Forecasting. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Healthcare Analyst. Required skills include Healthcare Data, Excel, SQL. Candidate should possess strong communication skills and relevant industry experience.",0.51,medium,medium,28,22
"Data Analyst with 8 years of experience. Skilled in Python, SQL, Power BI, Tableau, Excel. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Marketing Manager. Required skills include SEO, Content Marketing, Analytics. Candidate should possess strong communication skills and relevant industry experience.",0.47,medium,medium,29,22
"Marketing Manager with 8 years of experience. Skilled in SEO, Content Marketing, Analytics, Branding, Campaigns. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a HR Specialist. Required skills include Recruitment, Onboarding, Communication. Candidate should possess strong communication skills and relevant industry experience.",0.5,medium,medium,29,21
"Marketing Manager with 4 years of experience. Skilled in SEO, Content Marketing, Analytics, Branding, Campaigns. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Sales Manager. Required skills include CRM, Sales, Leadership. Candidate should possess strong communication skills and relevant industry experience.",0.47,medium,medium,29,21
"Business Analyst with 7 years of experience. Skilled in SQL, Excel, Power BI, Communication, Reporting. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a AI Engineer. Required skills include LLMs, Python, NLP. Candidate should possess strong communication skills and relevant industry experience.",0.5,medium,medium,29,21
"Marketing Manager with 5 years of experience. Skilled in SEO, Content Marketing, Analytics, Branding, Campaigns. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Data Scientist. Required skills include Python, Machine Learning, Pandas. Candidate should possess strong communication skills and relevant industry experience.",0.51,medium,medium,29,22
"Cloud Engineer with 9 years of experience. Skilled in AWS, Docker, Kubernetes, Terraform, Linux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Full Stack Developer. Required skills include React, Node.js, MongoDB. Candidate should possess strong communication skills and relevant industry experience.",0.5,medium,medium,28,22
"Data Analyst with 5 years of experience. Skilled in Python, SQL, Power BI, Tableau, Excel. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Data Scientist. Required skills include Python, Machine Learning, Pandas. Candidate should possess strong communication skills and relevant industry experience.",0.45,medium,medium,29,22
"Backend Developer with 2 years of experience. Skilled in Java, Spring Boot, SQL, REST API, Docker. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Data Analyst. Required skills include Python, SQL, Power BI. Candidate should possess strong communication skills and relevant industry experience.",0.58,medium,medium,30,22
"Frontend Developer with 6 years of experience. Skilled in React, JavaScript, HTML, CSS, Redux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Healthcare Analyst. Required skills include Healthcare Data, Excel, SQL. Candidate should possess strong communication skills and relevant industry experience.",0.53,medium,medium,28,22
"Cloud Engineer with 7 years of experience. Skilled in AWS, Docker, Kubernetes, Terraform, Linux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Data Scientist. Required skills include Python, Machine Learning, Pandas. Candidate should possess strong communication skills and relevant industry experience.",0.67,medium,medium,28,22
"AI Engineer with 1 years of experience. Skilled in LLMs, Python, NLP, Transformers, Vector DB. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Backend Developer. Required skills include Java, Spring Boot, SQL. Candidate should possess strong communication skills and relevant industry experience.",0.61,medium,medium,29,22
"Data Analyst with 9 years of experience. Skilled in Python, SQL, Power BI, Tableau, Excel. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Cloud Engineer. Required skills include AWS, Docker, Kubernetes. Candidate should possess strong communication skills and relevant industry experience.",0.61,medium,medium,29,21
"Healthcare Analyst with 4 years of experience. Skilled in Healthcare Data, Excel, SQL, Reporting, Statistics. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Healthcare Analyst. Required skills include Healthcare Data, Excel, SQL. Candidate should possess strong communication skills and relevant industry experience.",0.51,medium,medium,29,22
"Data Scientist with 6 years of experience. Skilled in Python, Machine Learning, Pandas, NumPy, TensorFlow. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Business Analyst. Required skills include SQL, Excel, Power BI. Candidate should possess strong communication skills and relevant industry experience.",0.59,medium,medium,29,22
"Business Analyst with 2 years of experience. Skilled in SQL, Excel, Power BI, Communication, Reporting. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Marketing Manager. Required skills include SEO, Content Marketing, Analytics. Candidate should possess strong communication skills and relevant industry experience.",0.62,medium,medium,29,22
"Backend Developer with 5 years of experience. Skilled in Java, Spring Boot, SQL, REST API, Docker. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Cloud Engineer. Required skills include AWS, Docker, Kubernetes. Candidate should possess strong communication skills and relevant industry experience.",0.6,medium,medium,30,21
"Frontend Developer with 5 years of experience. Skilled in React, JavaScript, HTML, CSS, Redux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Full Stack Developer. Required skills include React, Node.js, MongoDB. Candidate should possess strong communication skills and relevant industry experience.",0.57,medium,medium,28,22
"AI Engineer with 7 years of experience. Skilled in LLMs, Python, NLP, Transformers, Vector DB. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Full Stack Developer. Required skills include React, Node.js, MongoDB. Candidate should possess strong communication skills and relevant industry experience.",0.6,medium,medium,29,22
"HR Specialist with 10 years of experience. Skilled in Recruitment, Onboarding, Communication, HRMS, Employee Relations. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a ML Engineer. Required skills include Python, PyTorch, TensorFlow. Candidate should possess strong communication skills and relevant industry experience.",0.57,medium,medium,29,21
"Full Stack Developer with 1 years of experience. Skilled in React, Node.js, MongoDB, Express, REST API. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Cloud Engineer. Required skills include AWS, Docker, Kubernetes. Candidate should possess strong communication skills and relevant industry experience.",0.49,medium,medium,30,21
"AI Engineer with 10 years of experience. Skilled in LLMs, Python, NLP, Transformers, Vector DB. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Full Stack Developer. Required skills include React, Node.js, MongoDB. Candidate should possess strong communication skills and relevant industry experience.",0.58,medium,medium,29,22
"Frontend Developer with 8 years of experience. Skilled in React, JavaScript, HTML, CSS, Redux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Cybersecurity Analyst. Required skills include SIEM, Network Security, Linux. Candidate should possess strong communication skills and relevant industry experience.",0.53,medium,medium,28,22
"AI Engineer with 8 years of experience. Skilled in LLMs, Python, NLP, Transformers, Vector DB. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Cloud Engineer. Required skills include AWS, Docker, Kubernetes. Candidate should possess strong communication skills and relevant industry experience.",0.64,medium,medium,29,21
"Sales Manager with 3 years of experience. Skilled in CRM, Sales, Leadership, Negotiation, Forecasting. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Healthcare Analyst. Required skills include Healthcare Data, Excel, SQL. Candidate should possess strong communication skills and relevant industry experience.",0.6,medium,medium,28,22
"Backend Developer with 10 years of experience. Skilled in Java, Spring Boot, SQL, REST API, Docker. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Cloud Engineer. Required skills include AWS, Docker, Kubernetes. Candidate should possess strong communication skills and relevant industry experience.",0.5,medium,medium,30,21
