resume_text,job_description,match_score,match_label
"Sales Manager with 9 years of experience. Skilled in CRM, Sales, Leadership, Negotiation, Forecasting. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.",Need developer,0.94,high
"DevOps Engineer with 6 years of experience. Skilled in Docker, Kubernetes, CI/CD, AWS, Linux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.",Need developer,0.87,high
"Data Scientist with 6 years of experience. Skilled in Python, Machine Learning, Pandas, NumPy, TensorFlow. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.",Need developer,0.93,high
"Marketing Manager with 5 years of experience. Skilled in SEO, Content Marketing, Analytics, Branding, Campaigns. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.",Need developer,0.84,high
"AI Engineer with 10 years of experience. Skilled in LLMs, Python, NLP, Transformers, Vector DB. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.",Need developer,0.94,high
"Data Scientist with 8 years of experience. Skilled in Python, Machine Learning, Pandas, NumPy, TensorFlow. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.",Need developer,0.92,high
"Sales Manager with 9 years of experience. Skilled in CRM, Sales, Leadership, Negotiation, Forecasting. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.",Need developer,0.91,high
"ML Engineer with 8 years of experience. Skilled in Python, PyTorch, TensorFlow, Deep Learning, MLOps. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.",Need developer,0.94,high
"ML Engineer with 5 years of experience. Skilled in Python, PyTorch, TensorFlow, Deep Learning, MLOps. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.",Need developer,0.88,high
"DevOps Engineer with 7 years of experience. Skilled in Docker, Kubernetes, CI/CD, AWS, Linux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.",Need developer,0.94,high
"HR Specialist with 9 years of experience. Skilled in Recruitment, Onboarding, Communication, HRMS, Employee Relations. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.",Need developer,0.91,high
"Healthcare Analyst with 4 years of experience. Skilled in Healthcare Data, Excel, SQL, Reporting, Statistics. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.",Need developer,0.91,high
"Full Stack Developer with 6 years of experience. Skilled in React, Node.js, MongoDB, Express, REST API. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.",Need developer,0.87,high
"Cloud Engineer with 8 years of experience. Skilled in AWS, Docker, Kubernetes, Terraform, Linux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.",Need developer,0.82,high
"AI Engineer with 2 years of experience. Skilled in LLMs, Python, NLP, Transformers, Vector DB. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.",Need developer,0.85,high
"DevOps Engineer with 9 years of experience. Skilled in Docker, Kubernetes, CI/CD, AWS, Linux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.",Need developer,0.83,high
"AI Engineer with 1 years of experience. Skilled in LLMs, Python, NLP, Transformers, Vector DB. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.",Need developer,0.81,high
"Business Analyst with 1 years of experience. Skilled in SQL, Excel, Power BI, Communication, Reporting. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.",Need developer,0.83,high
"HR Specialist with 1 years of experience. Skilled in Recruitment, Onboarding, Communication, HRMS, Employee Relations. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.",Need developer,0.93,high
"Data Scientist with 9 years of experience. Skilled in Python, Machine Learning, Pandas, NumPy, TensorFlow. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.",Need developer,0.84,high
"Business Analyst with 8 years of experience. Skilled in SQL, Excel, Power BI, Communication, Reporting. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.",Need developer,0.83,high
"ML Engineer with 10 years of experience. Skilled in Python, PyTorch, TensorFlow, Deep Learning, MLOps. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.",Need developer,0.89,high
"AI Engineer with 8 years of experience. Skilled in LLMs, Python, NLP, Transformers, Vector DB. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.",Need developer,0.92,high
"AI Engineer with 2 years of experience. Skilled in LLMs, Python, NLP, Transformers, Vector DB. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.",Need developer,0.81,high
"Full Stack Developer with 6 years of experience. Skilled in React, Node.js, MongoDB, Express, REST API. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.",Need developer,0.86,high
"Cybersecurity Analyst with 1 years of experience. Skilled in SIEM, Network Security, Linux, SOC, Risk Analysis. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.",Need developer,0.9,high
"Business Analyst with 2 years of experience. Skilled in SQL, Excel, Power BI, Communication, Reporting. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.",Need developer,0.81,high
"Healthcare Analyst with 6 years of experience. Skilled in Healthcare Data, Excel, SQL, Reporting, Statistics. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.",Need developer,0.92,high
"Data Scientist with 4 years of experience. Skilled in Python, Machine Learning, Pandas, NumPy, TensorFlow. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.",Need developer,0.83,high
"Cloud Engineer with 8 years of experience. Skilled in AWS, Docker, Kubernetes, Terraform, Linux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.",Need developer,0.82,high
"ML Engineer with 5 years of experience. Skilled in Python, PyTorch, TensorFlow, Deep Learning, MLOps. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.",Need developer,0.87,high
"Marketing Manager with 2 years of experience. Skilled in SEO, Content Marketing, Analytics, Branding, Campaigns. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.",Need developer,0.87,high
"Marketing Manager with 9 years of experience. Skilled in SEO, Content Marketing, Analytics, Branding, Campaigns. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.",Need developer,0.81,high
"Business Analyst with 9 years of experience. Skilled in SQL, Excel, Power BI, Communication, Reporting. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.",Need developer,0.93,high
"Data Scientist with 4 years of experience. Skilled in Python, Machine Learning, Pandas, NumPy, TensorFlow. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.",Need developer,0.82,high
"Cybersecurity Analyst with 8 years of experience. Skilled in SIEM, Network Security, Linux, SOC, Risk Analysis. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Cybersecurity Analyst. Required skills include SIEM, Network Security, Linux, SOC, Risk Analysis. Candidate should possess strong communication skills and relevant industry experience.",0.83,high
"Full Stack Developer with 1 years of experience. Skilled in React, Node.js, MongoDB, Express, REST API. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Full Stack Developer. Required skills include React, Node.js, MongoDB, Express, REST API. Candidate should possess strong communication skills and relevant industry experience.",0.82,high
"Data Analyst with 7 years of experience. Skilled in Python, SQL, Power BI, Tableau, Excel. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Data Analyst. Required skills include Python, SQL, Power BI, Tableau, Excel. Candidate should possess strong communication skills and relevant industry experience.",0.84,high
"Sales Manager with 8 years of experience. Skilled in CRM, Sales, Leadership, Negotiation, Forecasting. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Sales Manager. Required skills include CRM, Sales, Leadership, Negotiation, Forecasting. Candidate should possess strong communication skills and relevant industry experience.",0.84,high
"Healthcare Analyst with 9 years of experience. Skilled in Healthcare Data, Excel, SQL, Reporting, Statistics. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Healthcare Analyst. Required skills include Healthcare Data, Excel, SQL, Reporting, Statistics. Candidate should possess strong communication skills and relevant industry experience.",0.9,high
"Cybersecurity Analyst with 3 years of experience. Skilled in SIEM, Network Security, Linux, SOC, Risk Analysis. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Cybersecurity Analyst. Required skills include SIEM, Network Security, Linux, SOC, Risk Analysis. Candidate should possess strong communication skills and relevant industry experience.",0.83,high
"AI Engineer with 1 years of experience. Skilled in LLMs, Python, NLP, Transformers, Vector DB. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a AI Engineer. Required skills include LLMs, Python, NLP, Transformers, Vector DB. Candidate should possess strong communication skills and relevant industry experience.",0.89,high
"Cloud Engineer with 1 years of experience. Skilled in AWS, Docker, Kubernetes, Terraform, Linux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Cloud Engineer. Required skills include AWS, Docker, Kubernetes, Terraform, Linux. Candidate should possess strong communication skills and relevant industry experience.",0.91,high
"Data Analyst with 1 years of experience. Skilled in Python, SQL, Power BI, Tableau, Excel. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Data Analyst. Required skills include Python, SQL, Power BI, Tableau, Excel. Candidate should possess strong communication skills and relevant industry experience.",0.89,high
"Cloud Engineer with 9 years of experience. Skilled in AWS, Docker, Kubernetes, Terraform, Linux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Cloud Engineer. Required skills include AWS, Docker, Kubernetes, Terraform, Linux. Candidate should possess strong communication skills and relevant industry experience.",0.82,high
"Cloud Engineer with 2 years of experience. Skilled in AWS, Docker, Kubernetes, Terraform, Linux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Cloud Engineer. Required skills include AWS, Docker, Kubernetes, Terraform, Linux. Candidate should possess strong communication skills and relevant industry experience.",0.93,high
"Data Scientist with 10 years of experience. Skilled in Python, Machine Learning, Pandas, NumPy, TensorFlow. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Data Scientist. Required skills include Python, Machine Learning, Pandas, NumPy, TensorFlow. Candidate should possess strong communication skills and relevant industry experience.",0.81,high
"Marketing Manager with 4 years of experience. Skilled in SEO, Content Marketing, Analytics, Branding, Campaigns. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Marketing Manager. Required skills include SEO, Content Marketing, Analytics, Branding, Campaigns. Candidate should possess strong communication skills and relevant industry experience.",0.86,high
"HR Specialist with 10 years of experience. Skilled in Recruitment, Onboarding, Communication, HRMS, Employee Relations. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a HR Specialist. Required skills include Recruitment, Onboarding, Communication, HRMS, Employee Relations. Candidate should possess strong communication skills and relevant industry experience.",0.84,high
"DevOps Engineer with 1 years of experience. Skilled in Docker, Kubernetes, CI/CD, AWS, Linux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a DevOps Engineer. Required skills include Docker, Kubernetes, CI/CD, AWS, Linux. Candidate should possess strong communication skills and relevant industry experience.",0.89,high
"Full Stack Developer with 10 years of experience. Skilled in React, Node.js, MongoDB, Express, REST API. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Full Stack Developer. Required skills include React, Node.js, MongoDB, Express, REST API. Candidate should possess strong communication skills and relevant industry experience.",0.88,high
"Frontend Developer with 5 years of experience. Skilled in React, JavaScript, HTML, CSS, Redux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Frontend Developer. Required skills include React, JavaScript, HTML, CSS, Redux. Candidate should possess strong communication skills and relevant industry experience.",0.83,high
"Healthcare Analyst with 6 years of experience. Skilled in Healthcare Data, Excel, SQL, Reporting, Statistics. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Healthcare Analyst. Required skills include Healthcare Data, Excel, SQL, Reporting, Statistics. Candidate should possess strong communication skills and relevant industry experience.",0.84,high
"Full Stack Developer with 3 years of experience. Skilled in React, Node.js, MongoDB, Express, REST API. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Full Stack Developer. Required skills include React, Node.js, MongoDB, Express, REST API. Candidate should possess strong communication skills and relevant industry experience.",0.9,high
"Backend Developer with 8 years of experience. Skilled in Java, Spring Boot, SQL, REST API, Docker. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Backend Developer. Required skills include Java, Spring Boot, SQL, REST API, Docker. Candidate should possess strong communication skills and relevant industry experience.",0.85,high
"Sales Manager with 2 years of experience. Skilled in CRM, Sales, Leadership, Negotiation, Forecasting. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Sales Manager. Required skills include CRM, Sales, Leadership, Negotiation, Forecasting. Candidate should possess strong communication skills and relevant industry experience.",0.8,high
"DevOps Engineer with 10 years of experience. Skilled in Docker, Kubernetes, CI/CD, AWS, Linux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a DevOps Engineer. Required skills include Docker, Kubernetes, CI/CD, AWS, Linux. Candidate should possess strong communication skills and relevant industry experience.",0.95,high
"Data Scientist with 9 years of experience. Skilled in Python, Machine Learning, Pandas, NumPy, TensorFlow. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Data Scientist. Required skills include Python, Machine Learning, Pandas, NumPy, TensorFlow. Candidate should possess strong communication skills and relevant industry experience.",0.83,high
"Backend Developer with 3 years of experience. Skilled in Java, Spring Boot, SQL, REST API, Docker. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Backend Developer. Required skills include Java, Spring Boot, SQL, REST API, Docker. Candidate should possess strong communication skills and relevant industry experience.",0.94,high
"HR Specialist with 2 years of experience. Skilled in Recruitment, Onboarding, Communication, HRMS, Employee Relations. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a HR Specialist. Required skills include Recruitment, Onboarding, Communication, HRMS, Employee Relations. Candidate should possess strong communication skills and relevant industry experience.",0.93,high
"Frontend Developer with 5 years of experience. Skilled in React, JavaScript, HTML, CSS, Redux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Frontend Developer. Required skills include React, JavaScript, HTML, CSS, Redux. Candidate should possess strong communication skills and relevant industry experience.",0.82,high
"Marketing Manager with 9 years of experience. Skilled in SEO, Content Marketing, Analytics, Branding, Campaigns. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Marketing Manager. Required skills include SEO, Content Marketing, Analytics, Branding, Campaigns. Candidate should possess strong communication skills and relevant industry experience.",0.91,high
"DevOps Engineer with 9 years of experience. Skilled in Docker, Kubernetes, CI/CD, AWS, Linux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a DevOps Engineer. Required skills include Docker, Kubernetes, CI/CD, AWS, Linux. Candidate should possess strong communication skills and relevant industry experience.",0.8,high
"Marketing Manager with 9 years of experience. Skilled in SEO, Content Marketing, Analytics, Branding, Campaigns. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Marketing Manager. Required skills include SEO, Content Marketing, Analytics, Branding, Campaigns. Candidate should possess strong communication skills and relevant industry experience.",0.84,high
